刻印1,刻印2,刻印3,攻击,防御,特攻,特防,速度,体力,总和
群星·印象,K13-05,V10-06,42,125,65,125,73,350,600
群星·印象,K13-05,沧吟星海·辉,90,123,25,123,74,350,596
群星·印象,K13-05,沧吟星海·痕,42,123,73,123,74,350,596
群星·印象,K13-05,苍魂之魄,42,122,60,122,69,350,594
群星·印象,K13-05,梅之绝艳,85,123,25,123,73,346,592
群星·印象,K13-05,梅之傲寒,42,123,68,123,73,346,592
群星·印象,K13-05,深渊瞥视,42,123,70,123,77,345,591
群星·印象,K13-05,恶念缚魂,87,123,25,123,77,345,591
群星·印象,K13-06,K13-06,0,126,109,126,74,350,602
群星·印象,K13-06,十年·新生,36,125,67,125,72,350,600
群星·印象,K13-06,十年·同舟,0,125,103,125,72,350,600
群星·印象,K13-06,V10-05,40,125,67,125,73,350,600
群星·印象,K13-06,V10-06,0,125,107,125,73,350,600
群星·印象,K13-06,沧吟星海·辉,48,123,67,123,74,350,596
群星·印象,K13-06,沧吟星海·痕,0,123,115,123,74,350,596
群星·印象,K13-06,苍魂之魄,0,122,102,122,69,350,594
群星·印象,K13-06,梅之绝艳,43,123,67,123,73,346,592
群星·印象,K13-06,梅之傲寒,0,123,110,123,73,346,592
群星·印象,K13-06,深渊瞥视,0,123,112,123,77,345,591
群星·印象,K13-06,恶念缚魂,45,123,67,123,77,345,591
群星·印象,十年·新生,十年·新生,72,124,25,124,70,350,598
群星·印象,十年·新生,十年·同舟,36,124,61,124,70,350,598
群星·印象,十年·新生,V10-05,76,124,25,124,71,350,598
群星·印象,十年·新生,V10-06,36,124,65,124,71,350,598
群星·印象,十年·新生,沧吟星海·辉,84,122,25,122,72,350,594
群星·印象,十年·新生,沧吟星海·痕,36,122,73,122,72,350,594
群星·印象,十年·新生,梅之绝艳,79,122,25,122,71,346,590
群星·印象,十年·新生,梅之傲寒,36,122,68,122,71,346,590
群星·印象,十年·新生,深渊瞥视,36,122,70,122,75,345,589
群星·印象,十年·新生,恶念缚魂,81,122,25,122,75,345,589
群星·印象,十年·同舟,十年·同舟,0,124,97,124,70,350,598
群星·印象,十年·同舟,V10-05,40,124,61,124,71,350,598
群星·印象,十年·同舟,V10-06,0,124,101,124,71,350,598
群星·印象,十年·同舟,沧吟星海·辉,48,122,61,122,72,350,594
群星·印象,十年·同舟,沧吟星海·痕,0,122,109,122,72,350,594
群星·印象,十年·同舟,梅之绝艳,43,122,61,122,71,346,590
群星·印象,十年·同舟,梅之傲寒,0,122,104,122,71,346,590
群星·印象,十年·同舟,深渊瞥视,0,122,106,122,75,345,589
群星·印象,十年·同舟,恶念缚魂,45,122,61,122,75,345,589
群星·印象,V10-05,V10-05,80,124,25,124,72,350,598
群星·印象,V10-05,V10-06,40,124,65,124,72,350,598
群星·印象,V10-05,沧吟星海·辉,88,122,25,122,73,350,594
群星·印象,V10-05,沧吟星海·痕,40,122,73,122,73,350,594
群星·印象,V10-05,梅之绝艳,83,122,25,122,72,346,590
群星·印象,V10-05,梅之傲寒,40,122,68,122,72,346,590
群星·印象,V10-05,深渊瞥视,40,122,70,122,76,345,589
群星·印象,V10-05,恶念缚魂,85,122,25,122,76,345,589
群星·印象,V10-06,V10-06,0,124,105,124,72,350,598
群星·印象,V10-06,沧吟星海·辉,48,122,65,122,73,350,594
群星·印象,V10-06,沧吟星海·痕,0,122,113,122,73,350,594
群星·印象,V10-06,梅之绝艳,43,122,65,122,72,346,590
群星·印象,V10-06,梅之傲寒,0,122,108,122,72,346,590
群星·印象,V10-06,深渊瞥视,0,122,110,122,76,345,589
群星·印象,V10-06,恶念缚魂,45,122,65,122,76,345,589
灵籁·逐夏,灵籁·逐夏,K13-05,106,123,0,123,79,354,600
灵籁·逐夏,灵籁·逐夏,K13-06,64,123,42,123,79,354,600
灵籁·逐夏,灵籁·逐夏,十年·新生,100,122,0,122,77,354,598
灵籁·逐夏,灵籁·逐夏,十年·同舟,64,122,36,122,77,354,598
灵籁·逐夏,灵籁·逐夏,V10-05,104,122,0,122,78,354,598
灵籁·逐夏,灵籁·逐夏,V10-06,64,122,40,122,78,354,598
灵籁·逐夏,灵籁·逐夏,四九灵光,93,124,0,124,71,343,591
灵籁·逐夏,灵籁·逐夏,饕餮之吞,105,122,0,122,76,345,589
灵籁·逐夏,灵籁·逐夏,饕餮之噬,64,122,41,122,76,345,589
灵籁·逐夏,灵籁·伴夏,K13-05,74,123,32,123,79,354,600
灵籁·逐夏,灵籁·伴夏,K13-06,32,123,74,123,79,354,600
灵籁·逐夏,灵籁·伴夏,十年·新生,68,122,32,122,77,354,598
灵籁·逐夏,灵籁·伴夏,十年·同舟,32,122,68,122,77,354,598
灵籁·逐夏,灵籁·伴夏,V10-05,72,122,32,122,78,354,598
灵籁·逐夏,灵籁·伴夏,V10-06,32,122,72,122,78,354,598
灵籁·逐夏,灵籁·伴夏,四九灵光,61,124,32,124,71,343,591
灵籁·逐夏,灵籁·伴夏,饕餮之吞,73,122,32,122,76,345,589
灵籁·逐夏,灵籁·伴夏,饕餮之噬,32,122,73,122,76,345,589
灵籁·逐夏,K13-05,无间之岳,104,123,0,123,73,342,588
灵籁·逐夏,K13-06,无间之岳,62,123,42,123,73,342,588
灵籁·逐夏,十年·新生,无间之岳,98,122,0,122,71,342,586
灵籁·逐夏,十年·同舟,无间之岳,62,122,36,122,71,342,586
灵籁·逐夏,V10-05,无间之岳,102,122,0,122,72,342,586
灵籁·逐夏,V10-06,无间之岳,62,122,40,122,72,342,586
灵籁·伴夏,灵籁·伴夏,K13-05,42,123,64,123,79,354,600
灵籁·伴夏,灵籁·伴夏,K13-06,0,123,106,123,79,354,600
灵籁·伴夏,灵籁·伴夏,十年·新生,36,122,64,122,77,354,598
灵籁·伴夏,灵籁·伴夏,十年·同舟,0,122,100,122,77,354,598
灵籁·伴夏,灵籁·伴夏,V10-05,40,122,64,122,78,354,598
灵籁·伴夏,灵籁·伴夏,V10-06,0,122,104,122,78,354,598
灵籁·伴夏,灵籁·伴夏,四九灵光,29,124,64,124,71,343,591
灵籁·伴夏,灵籁·伴夏,饕餮之吞,41,122,64,122,76,345,589
灵籁·伴夏,灵籁·伴夏,饕餮之噬,0,122,105,122,76,345,589
灵籁·伴夏,K13-05,无间之岳,72,123,32,123,73,342,588
灵籁·伴夏,K13-06,无间之岳,30,123,74,123,73,342,588
灵籁·伴夏,十年·新生,无间之岳,66,122,32,122,71,342,586
灵籁·伴夏,十年·同舟,无间之岳,30,122,68,122,71,342,586
灵籁·伴夏,V10-05,无间之岳,70,122,32,122,72,342,586
灵籁·伴夏,V10-06,无间之岳,30,122,72,122,72,342,586
沧吟星海·瀚,灵籁·逐夏,K13-05,99,133,0,133,73,342,608
沧吟星海·瀚,灵籁·逐夏,十年·新生,93,132,0,132,71,342,606
沧吟星海·瀚,灵籁·逐夏,V10-05,97,132,0,132,72,342,606
沧吟星海·瀚,灵籁·逐夏,沧吟星海·辉,105,130,0,130,73,342,602
沧吟星海·瀚,灵籁·逐夏,群星·知心,100,127,0,127,80,346,600
沧吟星海·瀚,K13-05,四九灵光,96,122,0,122,66,349,593
群星·记忆,K13-05,K13-05,109,126,0,126,74,350,602
群星·记忆,K13-05,十年·新生,103,125,0,125,72,350,600
群星·记忆,K13-05,V10-05,107,125,0,125,73,350,600
群星·记忆,K13-05,沧吟星海·辉,115,123,0,123,74,350,596
群星·记忆,K13-05,梅之绝艳,110,123,0,123,73,346,592
群星·记忆,K13-05,恶念缚魂,112,123,0,123,77,345,591
群星·记忆,十年·新生,十年·新生,97,124,0,124,70,350,598
群星·记忆,十年·新生,V10-05,101,124,0,124,71,350,598
群星·记忆,十年·新生,沧吟星海·辉,109,122,0,122,72,350,594
群星·记忆,十年·新生,梅之绝艳,104,122,0,122,71,346,590
群星·记忆,十年·新生,恶念缚魂,106,122,0,122,75,345,589
群星·记忆,V10-05,V10-05,105,124,0,124,72,350,598
群星·记忆,V10-05,沧吟星海·辉,113,122,0,122,73,350,594
群星·记忆,V10-05,梅之绝艳,108,122,0,122,72,346,590
群星·记忆,V10-05,恶念缚魂,110,122,0,122,76,345,589
灵籁·逐夏,灵籁·逐夏,K13-05,106,123,0,123,79,354,600
灵籁·逐夏,灵籁·逐夏,十年·新生,100,122,0,122,77,354,598
灵籁·逐夏,灵籁·逐夏,V10-05,104,122,0,122,78,354,598
灵籁·逐夏,灵籁·逐夏,四九灵光,93,124,0,124,71,343,591
灵籁·逐夏,灵籁·逐夏,饕餮之吞,105,122,0,122,76,345,589
灵籁·逐夏,K13-05,无间之岳,104,123,0,123,73,342,588
灵籁·逐夏,十年·新生,无间之岳,98,122,0,122,71,342,586
灵籁·逐夏,V10-05,无间之岳,102,122,0,122,72,342,586
沧吟星海·瀚,灵籁·逐夏,K13-05,99,133,0,133,73,342,608
沧吟星海·瀚,灵籁·逐夏,K13-06,57,133,42,133,73,342,608
沧吟星海·瀚,灵籁·逐夏,十年·新生,93,132,0,132,71,342,606
沧吟星海·瀚,灵籁·逐夏,十年·同舟,57,132,36,132,71,342,606
沧吟星海·瀚,灵籁·逐夏,V10-05,97,132,0,132,72,342,606
沧吟星海·瀚,灵籁·逐夏,V10-06,57,132,40,132,72,342,606
沧吟星海·瀚,灵籁·逐夏,沧吟星海·辉,105,130,0,130,73,342,602
沧吟星海·瀚,灵籁·逐夏,沧吟星海·痕,57,130,48,130,73,342,602
沧吟星海·瀚,灵籁·逐夏,苍魂之魄,57,129,35,129,68,342,600
沧吟星海·瀚,灵籁·逐夏,群星·知心,100,127,0,127,80,346,600
沧吟星海·瀚,灵籁·逐夏,群星·共鸣,57,127,43,127,80,346,600
沧吟星海·瀚,灵籁·伴夏,K13-05,67,133,32,133,73,342,608
沧吟星海·瀚,灵籁·伴夏,K13-06,25,133,74,133,73,342,608
沧吟星海·瀚,灵籁·伴夏,十年·新生,61,132,32,132,71,342,606
沧吟星海·瀚,灵籁·伴夏,十年·同舟,25,132,68,132,71,342,606
沧吟星海·瀚,灵籁·伴夏,V10-05,65,132,32,132,72,342,606
沧吟星海·瀚,灵籁·伴夏,V10-06,25,132,72,132,72,342,606
沧吟星海·瀚,灵籁·伴夏,沧吟星海·辉,73,130,32,130,73,342,602
沧吟星海·瀚,灵籁·伴夏,沧吟星海·痕,25,130,80,130,73,342,602
沧吟星海·瀚,灵籁·伴夏,苍魂之魄,25,129,67,129,68,342,600
沧吟星海·瀚,灵籁·伴夏,群星·知心,68,127,32,127,80,346,600
沧吟星海·瀚,灵籁·伴夏,群星·共鸣,25,127,75,127,80,346,600
沧吟星海·瀚,K13-05,四九灵光,96,122,0,122,66,349,593
沧吟星海·瀚,K13-06,四九灵光,54,122,42,122,66,349,593
沧吟星海·澜,灵籁·逐夏,K13-05,74,133,25,133,73,342,608
沧吟星海·澜,灵籁·逐夏,K13-06,32,133,67,133,73,342,608
沧吟星海·澜,灵籁·逐夏,十年·新生,68,132,25,132,71,342,606
沧吟星海·澜,灵籁·逐夏,十年·同舟,32,132,61,132,71,342,606
沧吟星海·澜,灵籁·逐夏,V10-05,72,132,25,132,72,342,606
沧吟星海·澜,灵籁·逐夏,V10-06,32,132,65,132,72,342,606
沧吟星海·澜,灵籁·逐夏,沧吟星海·辉,80,130,25,130,73,342,602
沧吟星海·澜,灵籁·逐夏,沧吟星海·痕,32,130,73,130,73,342,602
沧吟星海·澜,灵籁·逐夏,苍魂之魄,32,129,60,129,68,342,600
沧吟星海·澜,灵籁·逐夏,群星·知心,75,127,25,127,80,346,600
沧吟星海·澜,灵籁·逐夏,群星·共鸣,32,127,68,127,80,346,600
沧吟星海·澜,灵籁·伴夏,K13-05,42,133,57,133,73,342,608
沧吟星海·澜,灵籁·伴夏,K13-06,0,133,99,133,73,342,608
沧吟星海·澜,灵籁·伴夏,十年·新生,36,132,57,132,71,342,606
沧吟星海·澜,灵籁·伴夏,十年·同舟,0,132,93,132,71,342,606
沧吟星海·澜,灵籁·伴夏,V10-05,40,132,57,132,72,342,606
沧吟星海·澜,灵籁·伴夏,V10-06,0,132,97,132,72,342,606
沧吟星海·澜,灵籁·伴夏,沧吟星海·辉,48,130,57,130,73,342,602
沧吟星海·澜,灵籁·伴夏,沧吟星海·痕,0,130,105,130,73,342,602
沧吟星海·澜,灵籁·伴夏,苍魂之魄,0,129,92,129,68,342,600
沧吟星海·澜,灵籁·伴夏,群星·知心,43,127,57,127,80,346,600
沧吟星海·澜,灵籁·伴夏,群星·共鸣,0,127,100,127,80,346,600
沧吟星海·澜,K13-05,四九灵光,71,122,25,122,66,349,593
沧吟星海·澜,K13-06,四九灵光,29,122,67,122,66,349,593
群星·记忆,K13-05,K13-05,109,126,0,126,74,350,602
群星·记忆,K13-05,K13-06,67,126,42,126,74,350,602
群星·记忆,K13-05,十年·新生,103,125,0,125,72,350,600
群星·记忆,K13-05,十年·同舟,67,125,36,125,72,350,600
群星·记忆,K13-05,V10-05,107,125,0,125,73,350,600
群星·记忆,K13-05,V10-06,67,125,40,125,73,350,600
群星·记忆,K13-05,沧吟星海·辉,115,123,0,123,74,350,596
群星·记忆,K13-05,沧吟星海·痕,67,123,48,123,74,350,596
群星·记忆,K13-05,苍魂之魄,67,122,35,122,69,350,594
群星·记忆,K13-05,梅之绝艳,110,123,0,123,73,346,592
群星·记忆,K13-05,梅之傲寒,67,123,43,123,73,346,592
群星·记忆,K13-05,深渊瞥视,67,123,45,123,77,345,591
群星·记忆,K13-05,恶念缚魂,112,123,0,123,77,345,591
群星·记忆,K13-06,K13-06,25,126,84,126,74,350,602
群星·记忆,K13-06,十年·新生,61,125,42,125,72,350,600
群星·记忆,K13-06,十年·同舟,25,125,78,125,72,350,600
群星·记忆,K13-06,V10-05,65,125,42,125,73,350,600
群星·记忆,K13-06,V10-06,25,125,82,125,73,350,600
群星·记忆,K13-06,沧吟星海·辉,73,123,42,123,74,350,596
群星·记忆,K13-06,沧吟星海·痕,25,123,90,123,74,350,596
群星·记忆,K13-06,苍魂之魄,25,122,77,122,69,350,594
群星·记忆,K13-06,梅之绝艳,68,123,42,123,73,346,592
群星·记忆,K13-06,梅之傲寒,25,123,85,123,73,346,592
群星·记忆,K13-06,深渊瞥视,25,123,87,123,77,345,591
群星·记忆,K13-06,恶念缚魂,70,123,42,123,77,345,591
群星·记忆,十年·新生,十年·新生,97,124,0,124,70,350,598
群星·记忆,十年·新生,十年·同舟,61,124,36,124,70,350,598
群星·记忆,十年·新生,V10-05,101,124,0,124,71,350,598
群星·记忆,十年·新生,V10-06,61,124,40,124,71,350,598
群星·记忆,十年·新生,沧吟星海·辉,109,122,0,122,72,350,594
群星·记忆,十年·新生,沧吟星海·痕,61,122,48,122,72,350,594
群星·记忆,十年·新生,梅之绝艳,104,122,0,122,71,346,590
群星·记忆,十年·新生,梅之傲寒,61,122,43,122,71,346,590
群星·记忆,十年·新生,深渊瞥视,61,122,45,122,75,345,589
群星·记忆,十年·新生,恶念缚魂,106,122,0,122,75,345,589
群星·记忆,十年·同舟,十年·同舟,25,124,72,124,70,350,598
群星·记忆,十年·同舟,V10-05,65,124,36,124,71,350,598
群星·记忆,十年·同舟,V10-06,25,124,76,124,71,350,598
群星·记忆,十年·同舟,沧吟星海·辉,73,122,36,122,72,350,594
群星·记忆,十年·同舟,沧吟星海·痕,25,122,84,122,72,350,594
群星·记忆,十年·同舟,梅之绝艳,68,122,36,122,71,346,590
群星·记忆,十年·同舟,梅之傲寒,25,122,79,122,71,346,590
群星·记忆,十年·同舟,深渊瞥视,25,122,81,122,75,345,589
群星·记忆,十年·同舟,恶念缚魂,70,122,36,122,75,345,589
群星·记忆,V10-05,V10-05,105,124,0,124,72,350,598
群星·记忆,V10-05,V10-06,65,124,40,124,72,350,598
群星·记忆,V10-05,沧吟星海·辉,113,122,0,122,73,350,594
群星·记忆,V10-05,沧吟星海·痕,65,122,48,122,73,350,594
群星·记忆,V10-05,梅之绝艳,108,122,0,122,72,346,590
群星·记忆,V10-05,梅之傲寒,65,122,43,122,72,346,590
群星·记忆,V10-05,深渊瞥视,65,122,45,122,76,345,589
群星·记忆,V10-05,恶念缚魂,110,122,0,122,76,345,589
群星·记忆,V10-06,V10-06,25,124,80,124,72,350,598
群星·记忆,V10-06,沧吟星海·辉,73,122,40,122,73,350,594
群星·记忆,V10-06,沧吟星海·痕,25,122,88,122,73,350,594
群星·记忆,V10-06,梅之绝艳,68,122,40,122,72,346,590
群星·记忆,V10-06,梅之傲寒,25,122,83,122,72,346,590
群星·记忆,V10-06,深渊瞥视,25,122,85,122,76,345,589
群星·记忆,V10-06,恶念缚魂,70,122,40,122,76,345,589
群星·印象,K13-05,K13-05,84,126,25,126,74,350,602
群星·印象,K13-05,K13-06,42,126,67,126,74,350,602
群星·印象,K13-05,十年·新生,78,125,25,125,72,350,600
群星·印象,K13-05,十年·同舟,42,125,61,125,72,350,600
群星·印象,K13-05,V10-05,82,125,25,125,73,350,600
群星·印象,K13-05,V10-06,42,125,65,125,73,350,600
群星·印象,K13-05,沧吟星海·辉,90,123,25,123,74,350,596
群星·印象,K13-05,沧吟星海·痕,42,123,73,123,74,350,596
群星·印象,K13-05,苍魂之魄,42,122,60,122,69,350,594
群星·印象,K13-05,梅之绝艳,85,123,25,123,73,346,592
群星·印象,K13-05,梅之傲寒,42,123,68,123,73,346,592
群星·印象,K13-05,深渊瞥视,42,123,70,123,77,345,591
群星·印象,K13-05,恶念缚魂,87,123,25,123,77,345,591
群星·印象,K13-06,K13-06,0,126,109,126,74,350,602
群星·印象,K13-06,十年·新生,36,125,67,125,72,350,600
群星·印象,K13-06,十年·同舟,0,125,103,125,72,350,600
群星·印象,K13-06,V10-05,40,125,67,125,73,350,600
群星·印象,K13-06,V10-06,0,125,107,125,73,350,600
群星·印象,K13-06,沧吟星海·辉,48,123,67,123,74,350,596
群星·印象,K13-06,沧吟星海·痕,0,123,115,123,74,350,596
群星·印象,K13-06,苍魂之魄,0,122,102,122,69,350,594
群星·印象,K13-06,梅之绝艳,43,123,67,123,73,346,592
群星·印象,K13-06,梅之傲寒,0,123,110,123,73,346,592
群星·印象,K13-06,深渊瞥视,0,123,112,123,77,345,591
群星·印象,K13-06,恶念缚魂,45,123,67,123,77,345,591
群星·印象,十年·新生,十年·新生,72,124,25,124,70,350,598
群星·印象,十年·新生,十年·同舟,36,124,61,124,70,350,598
群星·印象,十年·新生,V10-05,76,124,25,124,71,350,598
群星·印象,十年·新生,V10-06,36,124,65,124,71,350,598
群星·印象,十年·新生,沧吟星海·辉,84,122,25,122,72,350,594
群星·印象,十年·新生,沧吟星海·痕,36,122,73,122,72,350,594
群星·印象,十年·新生,梅之绝艳,79,122,25,122,71,346,590
群星·印象,十年·新生,梅之傲寒,36,122,68,122,71,346,590
群星·印象,十年·新生,深渊瞥视,36,122,70,122,75,345,589
群星·印象,十年·新生,恶念缚魂,81,122,25,122,75,345,589
群星·印象,十年·同舟,十年·同舟,0,124,97,124,70,350,598
群星·印象,十年·同舟,V10-05,40,124,61,124,71,350,598
群星·印象,十年·同舟,V10-06,0,124,101,124,71,350,598
群星·印象,十年·同舟,沧吟星海·辉,48,122,61,122,72,350,594
群星·印象,十年·同舟,沧吟星海·痕,0,122,109,122,72,350,594
群星·印象,十年·同舟,梅之绝艳,43,122,61,122,71,346,590
群星·印象,十年·同舟,梅之傲寒,0,122,104,122,71,346,590
群星·印象,十年·同舟,深渊瞥视,0,122,106,122,75,345,589
群星·印象,十年·同舟,恶念缚魂,45,122,61,122,75,345,589
群星·印象,V10-05,V10-05,80,124,25,124,72,350,598
群星·印象,V10-05,V10-06,40,124,65,124,72,350,598
群星·印象,V10-05,沧吟星海·辉,88,122,25,122,73,350,594
群星·印象,V10-05,沧吟星海·痕,40,122,73,122,73,350,594
群星·印象,V10-05,梅之绝艳,83,122,25,122,72,346,590
群星·印象,V10-05,梅之傲寒,40,122,68,122,72,346,590
群星·印象,V10-05,深渊瞥视,40,122,70,122,76,345,589
群星·印象,V10-05,恶念缚魂,85,122,25,122,76,345,589
群星·印象,V10-06,V10-06,0,124,105,124,72,350,598
群星·印象,V10-06,沧吟星海·辉,48,122,65,122,73,350,594
群星·印象,V10-06,沧吟星海·痕,0,122,113,122,73,350,594
群星·印象,V10-06,梅之绝艳,43,122,65,122,72,346,590
群星·印象,V10-06,梅之傲寒,0,122,108,122,72,346,590
群星·印象,V10-06,深渊瞥视,0,122,110,122,76,345,589
群星·印象,V10-06,恶念缚魂,45,122,65,122,76,345,589
灵籁·逐夏,灵籁·逐夏,K13-05,106,123,0,123,79,354,600
灵籁·逐夏,灵籁·逐夏,K13-06,64,123,42,123,79,354,600
灵籁·逐夏,灵籁·逐夏,十年·新生,100,122,0,122,77,354,598
灵籁·逐夏,灵籁·逐夏,十年·同舟,64,122,36,122,77,354,598
灵籁·逐夏,灵籁·逐夏,V10-05,104,122,0,122,78,354,598
灵籁·逐夏,灵籁·逐夏,V10-06,64,122,40,122,78,354,598
灵籁·逐夏,灵籁·逐夏,四九灵光,93,124,0,124,71,343,591
灵籁·逐夏,灵籁·逐夏,饕餮之吞,105,122,0,122,76,345,589
灵籁·逐夏,灵籁·逐夏,饕餮之噬,64,122,41,122,76,345,589
灵籁·逐夏,灵籁·伴夏,K13-05,74,123,32,123,79,354,600
灵籁·逐夏,灵籁·伴夏,K13-06,32,123,74,123,79,354,600
灵籁·逐夏,灵籁·伴夏,十年·新生,68,122,32,122,77,354,598
灵籁·逐夏,灵籁·伴夏,十年·同舟,32,122,68,122,77,354,598
灵籁·逐夏,灵籁·伴夏,V10-05,72,122,32,122,78,354,598
灵籁·逐夏,灵籁·伴夏,V10-06,32,122,72,122,78,354,598
灵籁·逐夏,灵籁·伴夏,四九灵光,61,124,32,124,71,343,591
灵籁·逐夏,灵籁·伴夏,饕餮之吞,73,122,32,122,76,345,589
灵籁·逐夏,灵籁·伴夏,饕餮之噬,32,122,73,122,76,345,589
灵籁·逐夏,K13-05,无间之岳,104,123,0,123,73,342,588
灵籁·逐夏,K13-06,无间之岳,62,123,42,123,73,342,588
灵籁·逐夏,十年·新生,无间之岳,98,122,0,122,71,342,586
灵籁·逐夏,十年·同舟,无间之岳,62,122,36,122,71,342,586
灵籁·逐夏,V10-05,无间之岳,102,122,0,122,72,342,586
灵籁·逐夏,V10-06,无间之岳,62,122,40,122,72,342,586
灵籁·伴夏,灵籁·伴夏,K13-05,42,123,64,123,79,354,600
灵籁·伴夏,灵籁·伴夏,K13-06,0,123,106,123,79,354,600
灵籁·伴夏,灵籁·伴夏,十年·新生,36,122,64,122,77,354,598
灵籁·伴夏,灵籁·伴夏,十年·同舟,0,122,100,122,77,354,598
灵籁·伴夏,灵籁·伴夏,V10-05,40,122,64,122,78,354,598
灵籁·伴夏,灵籁·伴夏,V10-06,0,122,104,122,78,354,598
灵籁·伴夏,灵籁·伴夏,四九灵光,29,124,64,124,71,343,591
灵籁·伴夏,灵籁·伴夏,饕餮之吞,41,122,64,122,76,345,589
灵籁·伴夏,灵籁·伴夏,饕餮之噬,0,122,105,122,76,345,589
灵籁·伴夏,K13-05,无间之岳,72,123,32,123,73,342,588
灵籁·伴夏,K13-06,无间之岳,30,123,74,123,73,342,588
灵籁·伴夏,十年·新生,无间之岳,66,122,32,122,71,342,586
灵籁·伴夏,十年·同舟,无间之岳,30,122,68,122,71,342,586
灵籁·伴夏,V10-05,无间之岳,70,122,32,122,72,342,586
灵籁·伴夏,V10-06,无间之岳,30,122,72,122,72,342,586
苍魂之魄,群星·知心,群星·知心,86,83,35,83,90,398,398
苍魂之魄,群星·知心,群星·共鸣,43,83,78,83,90,398,398
苍魂之魄,群星·共鸣,群星·共鸣,0,83,121,83,90,398,398
十年·新生,群星·知心,群星·知心,122,86,0,86,93,398,398
十年·新生,群星·知心,群星·共鸣,79,86,43,86,93,398,398
十年·新生,群星·共鸣,群星·共鸣,36,86,86,86,93,398,398
十年·同舟,群星·知心,群星·知心,86,86,36,86,93,398,398
十年·同舟,群星·知心,群星·共鸣,43,86,79,86,93,398,398
十年·同舟,群星·共鸣,群星·共鸣,0,86,122,86,93,398,398
V10-05,群星·知心,群星·知心,126,86,0,86,94,398,398
V10-05,群星·知心,群星·共鸣,83,86,43,86,94,398,398
V10-05,群星·共鸣,群星·共鸣,40,86,86,86,94,398,398
V10-06,群星·知心,群星·知心,86,86,40,86,94,398,398
V10-06,群星·知心,群星·共鸣,43,86,83,86,94,398,398
V10-06,群星·共鸣,群星·共鸣,0,86,126,86,94,398,398
K13-05,群星·知心,群星·知心,128,87,0,87,95,398,398
K13-05,群星·知心,群星·共鸣,85,87,43,87,95,398,398
K13-05,群星·共鸣,群星·共鸣,42,87,86,87,95,398,398
K13-06,群星·知心,群星·知心,86,87,42,87,95,398,398
K13-06,群星·知心,群星·共鸣,43,87,85,87,95,398,398
K13-06,群星·共鸣,群星·共鸣,0,87,128,87,95,398,398
沧吟星海·辉,群星·知心,群星·知心,134,84,0,84,95,398,398
沧吟星海·辉,群星·知心,群星·共鸣,91,84,43,84,95,398,398
沧吟星海·辉,群星·共鸣,群星·共鸣,48,84,86,84,95,398,398
